"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.193558946E2,1.932489667E1,-9.917921167E1,2.275151569E3,2.267300000E3,1.019150019E0,3.584899902E2,1.864375006E-1,2.000000000E0,2.039999962E1,2.000000000E1
1.203558946E2,1.932490500E1,-9.917921000E1,2.276051547E3,2.268200000E3,9.903255701E-1,3.544700012E2,1.872019382E-1,2.000000000E0,2.160000038E1,2.000000000E1
1.213558946E2,1.932491000E1,-9.917920500E1,2.277251526E3,2.269400000E3,9.311324954E-1,1.703000069E1,1.879663758E-1,1.899999976E0,2.179999924E1,2.000000000E1
1.223558946E2,1.932491500E1,-9.917920000E1,2.277851505E3,2.270000000E3,8.667922020E-1,3.666999817E1,1.883762116E-1,1.899999976E0,2.079999924E1,2.000000000E1
1.233558946E2,1.932491833E1,-9.917919833E1,2.278651494E3,2.270800000E3,8.523799777E-1,1.189300003E2,1.892506273E-1,1.899999976E0,2.100000000E1,2.000000000E1
1.243558946E2,1.932491833E1,-9.917919000E1,2.278951477E3,2.271100000E3,8.163494468E-1,1.104899979E2,1.902003557E-1,1.899999976E0,2.160000038E1,1.900000000E1
1.253558946E2,1.932492167E1,-9.917918167E1,2.279551453E3,2.271700000E3,8.024519682E-1,1.021900024E2,1.916116418E-1,1.899999976E0,1.679999924E1,2.000000000E1
1.263558946E2,1.932492333E1,-9.917916833E1,2.279551423E3,2.271700000E3,7.581858039E-1,8.858000183E1,1.925054808E-1,1.899999976E0,1.650000000E1,1.800000000E1
1.273558946E2,1.932492167E1,-9.917916000E1,2.279451410E3,2.271600000E3,7.123755813E-1,9.286000061E1,1.934552092E-1,2.000000000E0,1.700000000E1,1.800000000E1
1.283558946E2,1.932491833E1,-9.917915167E1,2.279351401E3,2.271500000E3,6.506088972E-1,1.071999969E2,1.944744593E-1,2.099999905E0,1.739999962E1,1.800000000E1
1.293558946E2,1.932491167E1,-9.917914500E1,2.279051403E3,2.271200000E3,6.176666617E-1,1.208899994E2,1.959483202E-1,2.099999905E0,1.789999962E1,1.800000000E1
1.303558946E2,1.932490000E1,-9.917913833E1,2.278751416E3,2.270900000E3,6.392850280E-1,1.431699982E2,1.972573291E-1,2.200000048E0,1.850000000E1,1.700000000E1
1.313558946E2,1.932488833E1,-9.917913667E1,2.278251440E3,2.270400000E3,6.696535945E-1,9.883000183E1,1.984183540E-1,2.299999952E0,1.900000000E1,1.700000000E1
1.323558946E2,1.932488000E1,-9.917913000E1,2.277851445E3,2.270000000E3,7.056841850E-1,8.550000000E1,1.997030927E-1,2.299999952E0,1.939999962E1,1.800000000E1
1.333558946E2,1.932487333E1,-9.917912000E1,2.277351440E3,2.269500000E3,6.943602562E-1,9.816999817E1,2.002859236E-1,2.299999952E0,2.020000076E1,1.900000000E1
1.343558946E2,1.932486833E1,-9.917911833E1,2.277451448E3,2.269600000E3,6.423733234E-1,5.358000183E1,2.017170587E-1,2.400000095E0,2.070000076E1,1.800000000E1
1.353558946E2,1.932486167E1,-9.917910667E1,2.277751440E3,2.269900000E3,6.361966729E-1,1.110400009E2,2.028780836E-1,2.299999952E0,2.420000076E1,2.000000000E1
1.363558946E2,1.932485333E1,-9.917910000E1,2.277651446E3,2.269800000E3,5.703122020E-1,7.862000275E1,2.044507746E-1,2.299999952E0,2.129999924E1,2.000000000E1
1.373558946E2,1.932484000E1,-9.917910500E1,2.277851486E3,2.270000000E3,5.064866543E-1,1.402299957E2,2.052152124E-1,2.200000048E0,2.120000076E1,2.000000000E1
1.383558946E2,1.932483500E1,-9.917910000E1,2.277051488E3,2.269200000E3,5.070014000E-1,1.534400024E2,2.061581954E-1,2.200000048E0,2.100000000E1,2.000000000E1
1.393558946E2,1.932482667E1,-9.917910167E1,2.275551510E3,2.267700000E3,4.725149870E-1,1.029599991E2,2.071486343E-1,2.000000000E0,2.079999924E1,1.900000000E1
1.403558946E2,1.932481833E1,-9.917910500E1,2.275351535E3,2.267500000E3,4.349402785E-1,2.449600067E2,2.083867654E-1,2.000000000E0,2.050000000E1,2.000000000E1
1.413558946E2,1.932482000E1,-9.917911667E1,2.275151555E3,2.267300000E3,0.000000000E0,2.117700043E2,2.092806049E-1,2.000000000E0,1.560000038E1,2.200000000E1
1.423558946E2,1.932482167E1,-9.917912500E1,2.274251567E3,2.266400000E3,0.000000000E0,2.434299927E2,2.103299044E-1,1.899999976E0,1.589999962E1,2.100000000E1
1.433558946E2,1.932482167E1,-9.917913500E1,2.274351587E3,2.266500000E3,3.978802860E-1,2.191699982E2,2.114427434E-1,1.899999976E0,1.620000076E1,2.100000000E1
1.443558946E2,1.932481833E1,-9.917914500E1,2.274951614E3,2.267100000E3,4.508966804E-1,2.441499939E2,2.130260660E-1,1.899999976E0,1.539999962E1,2.100000000E1
1.453558946E2,1.932481167E1,-9.917915833E1,2.275551656E3,2.267700000E3,4.900155663E-1,2.493300018E2,2.147041657E-1,1.899999976E0,1.620000076E1,2.200000000E1
1.463558946E2,1.932480333E1,-9.917917167E1,2.276251701E3,2.268400000E3,5.414877534E-1,2.151799927E2,2.158505203E-1,1.799999952E0,1.679999924E1,2.200000000E1
1.473558946E2,1.932479667E1,-9.917918000E1,2.276751733E3,2.268900000E3,5.795772076E-1,2.200500031E2,2.166701919E-1,1.799999952E0,1.729999924E1,2.200000000E1
1.483558946E2,1.932479000E1,-9.917918333E1,2.277551754E3,2.269700000E3,5.651649833E-1,2.888599854E2,2.173697250E-1,1.799999952E0,1.629999924E1,2.200000000E1
